1.1640000062400002E14,66
9.282462259199997E13,41
9.07914732E13,83
9.079147319999998E13,83
***1.5101540131200003E14,11
***1.5101540131200003E14,11
1.6923514732800003E14,39
2.2089847631999992E13,102
2.2567192367999996E13,57
***1.47321561216E14,13
***1.48210226208E14,14
***1.48210226208E14,14
***1.1907923078400002E14,16
***1.550591088E14,11
***1.32586944288E14,9
***1.61831396688E14,12
***1.4949673896E14,12
***1.18982113728E14,9
1.4445591873599994E14,51
1.44455918736E14,51
1.13858526432E14,111
1.9259856767999997E14,95
***1.4596883894400003E14,10
***1.45968838944E14,10
***1.5043992192E14,9
***1.64106849456E14,9
***1.3438740048E14,6
***1.3438740048000002E14,6
***1.67912409504E14,8
***1.47031915152E14,7
***1.62690000576E14,9
***1.62690000576E14,9
***1.40828502864E14,7
***1.54654328496E14,7
***1.42404155184E14,8
***1.42404155184E14,8
***1.70874404256E14,11
1.1881434575999998E14,77
6.556507464000001E13,128
1.2628987536000008E14,75
1.2628987536000003E14,75
***1.6199130984E14,9
***1.48231600944E14,10
2.6352935568E13,41
1.3792356048000008E13,48
1.6617389088E13,58
6.677764257599999E13,90
5.527283788800001E13,52
6.737393553599999E13,189
8.562584884800005E13,49
8.562584884800003E13,49
9.464874796800005E13,66
8.090495649599998E13,123
1.9618908864000016E13,69
3.518820192E13,15
1.8563900064000008E13,49
1.8563900063999996E13,49
4.4683152000000016E13,95
8.088031123199997E13,125
2.8391060063999992E13,21
1.8284199552000008E13,133
3.3656314704E13,23
1.8143435520000008E13,43
4.412409076799997E13,69
4.412409076799998E13,69
***6.34835624784E14,13
7.737173472480001E14,41
1.375898267712E15,33
***2.35475064624E15,16
